"Block","Bale wts (lb)","Fresh wt  (lb/acre)","Fresh wt (ton/acre)","fresh weight (g)","dry weight (g)","% moisture","Year","Crop_ID","Crop","Harvested area (m2)","Harvested area (acre)","ton/ac at 0% moisture","ton/ac at 15% moisture","Mg/ha at 0% moisture","Mg/ha at 15% moisture"
"2",1350,3552.63157894737,1.77631578947368,NA,NA,32,"2020","A4","alfalfa",1512,0.373623006479097,1.20789473684211,1.38907894736842,2.70773763157895,3.11389827631579
"3",1115,2934.21052631579,1.46710526315789,NA,NA,24,"2020","A4","alfalfa",1512,0.373623006479097,1.115,1.28225,2.4994955,2.874419825
"4",861,2265.78947368421,1.13289473684211,NA,NA,25,"2020","A4","alfalfa",1512,0.373623006479097,0.849671052631579,0.977121710526316,1.90470759868421,2.19041373848684
"1",612,1610.52631578947,0.805263157894737,575.4,503.1,12.5651720542231,"2020","A4","alfalfa",1512,0.373623006479097,0.704080456615993,0.809692525108392,1.57833715959607,1.81508773353548
"2",621,1634.21052631579,0.817105263157895,621.9,543.1,12.6708474031195,"2020","A4","alfalfa",1512,0.373623006479097,0.7135711021403,0.820606767461345,1.59961233966791,1.8395541906181
"3",455,1197.36842105263,0.598684210526316,451.7,397.6,11.9769758689395,"2020","A4","alfalfa",1512,0.373623006479097,0.526979947100428,0.606026939165492,1.18133094741503,1.35853058952728
"4",535,1407.89473684211,0.703947368421053,468.5,412.4,11.974386339381,"2020","A4","alfalfa",1512,0.373623006479097,0.61965399090041,0.712602089535472,1.38907835140145,1.59744010411167
"1",638,1678.94736842105,0.839473684210526,370.5,279.5,24.5614035087719,"2020","A4","alfalfa",1512,0.373623006479097,0.633287165281625,0.728280240073869,1.41963983841182,1.63258581417359
"2",487,1281.57894736842,0.640789473684211,343.9,250.2,27.2462925268973,"2020","A4","alfalfa",1512,0.373623006479097,0.466198099202645,0.536127814083041,1.04507627898257,1.20183772082995
"3",514,1352.63157894737,0.676315789473684,416.8,314.6,24.5201535508637,"2020","A4","alfalfa",1512,0.373623006479097,0.510482119406001,0.587054437316901,1.14434776707243,1.3159999321333
"4",543,1428.94736842105,0.714473684210526,431.4,316,26.7501159017153,"2020","A4","alfalfa",1512,0.373623006479097,0.523351145596955,0.601853817436498,1.17319626308469,1.3491757025474
